Number of entries before formatting: ,1085
Total number of entries deleted: ,717
Final size of throughput sheet (entries): ,368

Total ATT Blocks: ,368
Total Verizon Blocks: ,21
Total Sprint Blocks: ,28
Total T-Mobile Blocks: ,57

Exclusive ATT Blocks: ,303
Exclusive Verizon Blocks: ,0
Exclusive Sprint Blocks: ,0
Exclusive T-Mobile Blocks: ,0

All carrier Blocks: ,17

Total UNKNOWN (3) blocks:,3
Total UNKNOWN (7) blocks:,2
Total Inteliquent (11) blocks:,32
Total Bandwidth (8) blocks:,265
Total Teli (6) blocks:,172

Number of unknown providers:,2
